Species	byUser	byPost	meanLikes	medianLikes	maxLikes	meanComments	medianComments	maxComments	genus	sub.family	status
Formica_japonica	5	11	42	34	65	1.45	1	5	Formica	Formicinae	native
Formica_lemani	5	9	43.89	41	86	1.67	0	6	Formica	Formicinae	native
Formica_obscuripes	5	20	57.8	48	122	2.9	2	12	Formica	Formicinae	native
Harpegnathos_saltator	5	7	91	41	342	2	1	8	Harpegnathos	Ponerinae	native
Lasius_alienus	5	6	41.33	22.5	100	1.33	0.5	4	Lasius	Formicinae	native
Lasius_americanus	5	12	63.42	72.5	108	1	0.5	5	Lasius	Formicinae	native
Messor_arenarius	5	13	114.23	90	276	2.38	2	8	Messor	Myrmicinae	native
Monomorium_floricola	5	5	87	56	198	1	1	3	Monomorium	Myrmicinae	alien
Myrmecia_piliventris	5	7	82.29	74	181	3.71	4	6	Myrmecia	Myrmeciinae	native
Myrmecocystus_navajo	5	9	132.44	88	337	4.89	2	16	Myrmecocystus	Formicinae	native
Odontomachus_brunneus	5	5	74.6	68	176	4.6	2	15	Odontomachus	Ponerinae	native
Pheidole_antipodum	5	82	102.99	109.5	202	3.09	3	19	Pheidole	Myrmicinae	native
Pheidole_aphrasta	5	19	104.11	95	401	1.74	0	10	Pheidole	Myrmicinae	native
Pheidole_indica	5	5	153	119	283	3	1	7	Pheidole	Myrmicinae	alien
Polyrhachis_beccarii	5	6	89.67	54	276	1.5	1.5	4	Polyrhachis	Formicinae	native
Acanthomyrmex_glabfemoralis	4	8	81.25	76.5	167	3.63	2	19	Acanthomyrmex	Myrmicinae	native
Anoplolepis_custodiens	4	5	36	24	97	0.2	0	1	Anoplolepis	Formicinae	native
Aphaenogaster_gibbosa	4	36	59.58	59.5	110	3.17	0.5	52	Aphaenogaster	Myrmicinae	native
Aphaenogaster_occidentalis	4	4	53	46	88	4.25	3	11	Aphaenogaster	Myrmicinae	native
Aphaenogaster_rudis	4	16	65.38	54	129	1.5	0.5	6	Aphaenogaster	Myrmicinae	native
